"BRK.B","CELG","DOW","EMR","HAL","MA","MRK","PEP","PM","SPG"
"320",1253500,1055000,416000,426400,288600,868300,512100,962100,875600,1876700
"321",1259700,1001200,415200,441900,300500,845200,502000,968400,882100,1864400
"322",1270500,984000,414800,450600,307300,819800,497100,984400,890900,1812600
"323",1265600,1016400,434900,432500,302600,895300,508400,967900,885800,1847900
"324",1313500,1187700,495400,472200,344700,955400,528700,995900,876200,1942300
"325",1274400,1069000,432300,438000,299600,877900,513100,949000,862000,1851500
"326",1255500,1057900,427500,430800,289400,866300,507900,966400,880600,1887400
"327",1271300,986200,414800,450400,307100,819900,497200,984500,890800,1810700
"328",1291800,1176900,501000,468900,339200,945900,516400,984400,864600,1914400
"329",1274100,1031300,427200,431800,304700,888500,514500,950400,875100,1857900
"330",1248800,1070000,412500,421700,286300,849600,504800,936100,848800,1816400
"331",1254200,1056900,416500,427400,289900,868000,511700,961200,874900,1877400
"332",1271500,988000,414900,450400,307100,819700,497400,984900,890700,1805800
"333",1315000,1187400,495500,472300,344600,955900,528900,996000,876200,1945000
"334",1293800,1075100,458400,445800,319900,917400,519000,979700,897100,1868000
"335",1261000,1039300,434600,423900,309600,889400,508000,944700,864900,1827300
"336",1272800,1035200,427500,431700,304900,888400,515400,949600,873100,1857900
"337",1300200,1170500,485300,460800,338700,942700,525000,988500,875400,1947800
"338",1287100,1091100,459700,440600,322100,903600,511300,975700,880700,1873100
"339",1271700,990100,414800,450900,307000,820500,497400,985000,891200,1804500
"340",1255300,1059200,427500,431000,290400,865500,508100,965700,879600,1884700
"341",1291000,1084000,450400,446500,319700,917700,517900,973200,890000,1862200
"342",1247000,1066800,411900,420200,285900,848400,503600,935300,848200,1812100
"343",1291400,1178000,500400,469000,339300,945100,516800,985000,865900,1916300
"344",1293300,1072800,458100,445700,320200,916900,519100,979200,897000,1866600
"345",1297300,1144500,477100,454700,331400,910200,515500,986800,875600,1928000
"346",1270700,989500,414800,451100,307400,819900,497600,984300,890800,1804200
"347",1254500,1061600,416400,427400,289900,868700,512400,962300,874900,1878200
"348",1314500,1186100,495400,472100,345600,955200,528700,994900,876300,1943600
"349",1293400,1075600,458000,445700,320200,916900,519200,979100,897100,1865200
"350",1255400,1017400,413300,422800,286600,850700,504100,949800,861800,1836300
"351",1296600,1143100,477000,454300,331000,910700,515700,986900,876000,1928000
"352",1287300,1090600,459600,440500,322000,904200,510900,975800,880100,1872400
"353",1290200,1083200,450100,446600,319600,917000,517600,973000,889700,1861000
"354",1296700,1140900,473400,447800,327200,919400,521500,979900,871200,1920800
"355",1246800,1068400,411100,419800,285900,848200,502800,936200,847400,1815000
"356",1256000,1018700,413400,422700,286200,850900,504600,950600,862800,1836300
"357",1272200,1033800,427900,431500,305300,889400,514900,949800,872800,1859400
"358",1270200,991300,415400,451700,307800,822600,497900,983600,890400,1800000
"359",1292100,1176800,499700,468200,338600,945000,516900,985200,866400,1916700
"360",1254700,1056300,427600,432000,290100,864400,508500,966400,880700,1883300
"361",1294200,1075700,458300,446300,320100,917600,519800,979400,897000,1865600
"362",1301000,1170900,486000,461400,338700,942700,525400,987400,875100,1949000
"363",1260200,1042300,434500,423300,309800,888300,507500,945000,862500,1823800
"364",1254000,1061300,416200,427900,289900,868200,511800,961800,875400,1875400
"365",1297000,1138900,473300,447700,327300,919800,521100,978900,871100,1919500
"366",1260300,1003800,414300,441900,301000,844500,501400,969000,882800,1866900
"367",1256200,1058300,427900,432300,290900,864800,508100,966600,880500,1884600
"368",1260900,1005800,414400,441200,301300,845100,501700,969200,883800,1867400
"369",1270700,990100,415000,451600,307700,824000,498100,982700,890800,1801500
"370",1287100,1089000,459500,440100,322000,904000,510800,976000,879900,1874600
"371",1246600,1064800,411000,419900,286100,849000,503600,936800,849000,1815000
"372",1256800,1020700,413800,422500,285900,850100,504900,951600,863200,1837500
"373",1291800,1176800,500000,467900,338500,944200,517100,985400,865800,1916800
